,1,2,3,4,5,6,30,11,7,31,8,9,10,15,16,12,13,14,32,33,34,35,25,26,23,24,19,20,21,22,17,18,27,28,29,$,P,D,D',D*,S,S',A,X,X',C,C',E,R,J,J',T,T',F,B',B*,K,V,H,O,Q,Y
0,s1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,s2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,s4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,s5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,s9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s10,s11,s12,,,6,7,,,,,,,,,,,,,,,,,,,,,,,8
6,,,,,s18,,s19,,,,,,,,,s20,,s21,,,,,,,,,,,,,,,,,,,,,,,13,14,15,,,,,,,,,,,,16,17,,,,,,
7,s9,,,,r1,,r1,,,,,,,,,r1,,r1,,,,,,,,,,,,,,,s10,s11,s12,,,22,7,,,,,,,,,,,,,,,,,,,,,,,8
8,,,,,,,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,r60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,r61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,r62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,r63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,s24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,s18,r10,s19,,,,,,,,,s20,r10,s21,,,,,,,,,,,,,,,,,,,,,,,25,14,15,,,,,,,,,,,,16,17,,,,,,
15,,,,,r12,r12,r12,,,,,,,,,r12,r12,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,r13,r13,r13,,,,,,,,,r13,r13,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,r14,r14,r14,,,,,,,,,r14,r14,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,s18,,s19,,,,,,,,,s20,,s21,,,,,,,,,,,,,,,,,,,,,,,26,14,15,,,,,,,,,,,,16,17,,,,,,
19,,,,,,,,,s28,,,,s27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,s29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
